genome,completeness,contamination,strain_heterogeneity,length,N50,centrality
chicken1_D13_maxbin.032.fasta.contigs.fa,91.53,10.71,88.89,3400142,17229,0.99636373
chicken1_D13_maxbin.033.fasta.contigs.fa,89.6,1.56,0.0,2524321,53272,0.99936170875
chicken1_D13_maxbin.034.fasta.contigs.fa,86.56,7.65,20.0,2202286,47266,0.9986431283333334
chicken1_D13_maxbin.035.fasta.contigs.fa,99.06,6.13,11.11,3369190,16380,0.9962762807142856
chicken1_D13_maxbin.036.fasta_sub.contigs.fa,70.25,3.58,23.08,3992942,21566,0.9920676
chicken1_D13_maxbin.037.fasta.contigs.fa,77.19,9.01,11.54,3080235,28400,0.9982392855555555
chicken1_D13_maxbin.038.fasta.contigs.fa,40.16,10.4,17.39,2232297,14968,0.0
chicken1_D13_maxbin.042.fasta.contigs.fa,97.44,12.93,1.89,5441110,7523,0.999712741111111
chicken1_D13_maxbin.044.fasta.contigs.fa,23.16,1.76,0.0,1356603,1937,0.0
chicken1_D13_maxbin.045.fasta_sub.contigs.fa,81.75,28.53,0.0,2907668,3526,0.0
