genome,completeness,contamination,strain_heterogeneity,length,N50
chicken1_D12_maxbin.024.fasta.contigs.fa,98.5,8.29,24.0,3547254,55818
chicken1_D12_maxbin.025.fasta.contigs.fa,94.91,4.26,7.41,3470438,37219
chicken1_D12_maxbin.026.fasta.contigs.fa,23.85,2.83,25.0,1700030,1814
chicken1_D12_maxbin.027.fasta_sub.contigs.fa,34.43,4.77,16.67,1961487,3662
chicken1_D12_maxbin.030.fasta_sub.contigs.fa,33.43,10.8,2.56,3196365,2120
chicken1_D12_maxbin.033.fasta.contigs.fa,83.88,12.87,5.0,2774632,4100
chicken1_D12_maxbin.036.fasta.contigs.fa,56.75,10.61,2.44,4383751,1840
chicken1_D12_maxbin.038.fasta.contigs.fa,67.02,8.06,11.11,1696465,2136
chicken1_D12_metabat2.25.fa.contigs.fa,28.03,0.0,0.0,443583,7395
chicken1_D12_metabat2.34.fa.contigs.fa,5.7,0.0,0.0,266423,266423
chicken1_D12_metabat2.38.fa.contigs.fa,8.72,0.0,0.0,255040,85901
chicken1_D12_metabat2.53.fa.contigs.fa,72.21,0.17,0.0,1745859,7839
chicken1_D12_metabat2.74.fa.contigs.fa,84.39,0.64,0.0,2877530,30696
chicken1_D12_metabat2.77.fa.contigs.fa,40.86,0.0,0.0,1554092,16986
chicken1_D13_maxbin.002.fasta.contigs.fa,85.75,3.29,0.0,2065248,84100
chicken1_D13_maxbin.003.fasta.contigs.fa,100.0,0.0,0.0,4003367,239002
chicken1_D13_maxbin.005.fasta.contigs.fa,94.54,4.51,25.0,4042261,67850
chicken1_D13_maxbin.006.fasta.contigs.fa,60.35,0.82,66.67,2654338,22858
chicken1_D13_maxbin.007.fasta.contigs.fa,85.85,1.49,0.0,3653087,35214
chicken1_D13_maxbin.010.fasta.contigs.fa,74.65,1.57,0.0,2173294,76439
chicken1_D13_maxbin.011.fasta.contigs.fa,86.58,2.68,0.0,3012449,64140
chicken1_D13_maxbin.012.fasta.contigs.fa,96.64,4.25,0.0,2371882,104194
chicken1_D13_maxbin.013.fasta.contigs.fa,81.43,6.76,0.0,3072355,42867
chicken1_D13_maxbin.014.fasta.contigs.fa,94.3,0.0,0.0,2690336,39414
chicken1_D13_maxbin.015.fasta.contigs.fa,94.34,1.08,0.0,2786733,44258
chicken1_D13_maxbin.016.fasta_sub.contigs.fa,72.99,21.21,31.82,2264880,53965
chicken1_D13_maxbin.018.fasta.contigs.fa,77.34,2.24,0.0,1497058,60117
chicken1_D13_maxbin.021.fasta.contigs.fa,5.38,0.69,33.33,553581,40667
chicken1_D13_maxbin.022.fasta.contigs.fa,87.75,1.34,0.0,2783301,56781
chicken1_D13_maxbin.025.fasta.contigs.fa,69.49,1.75,20.0,2278011,30248
chicken1_D13_maxbin.026.fasta.contigs.fa,96.08,0.34,0.0,4311515,51994
chicken1_D13_maxbin.027.fasta.contigs.fa,98.08,0.14,0.0,3867640,109696
chicken1_D13_maxbin.028.fasta.contigs.fa,80.06,0.63,0.0,2418506,76378
chicken1_D13_maxbin.029.fasta.contigs.fa,76.29,4.59,45.45,1756648,11193
chicken1_D13_maxbin.030.fasta.contigs.fa,91.96,2.8,0.0,1976744,122940
chicken1_D13_maxbin.031.fasta.contigs.fa,96.2,29.43,1.96,4411733,74589
chicken1_D13_maxbin.032.fasta.contigs.fa,91.53,10.71,88.89,3400142,17229
chicken1_D13_maxbin.033.fasta.contigs.fa,89.6,1.56,0.0,2524321,53272
chicken1_D13_maxbin.034.fasta.contigs.fa,86.56,7.65,20.0,2202286,47266
chicken1_D13_maxbin.035.fasta.contigs.fa,99.06,6.13,11.11,3369190,16380
chicken1_D13_maxbin.036.fasta_sub.contigs.fa,70.25,3.58,23.08,3992942,21566
chicken1_D13_maxbin.037.fasta.contigs.fa,77.19,9.01,11.54,3080235,28400
chicken1_D13_maxbin.038.fasta.contigs.fa,40.16,10.4,17.39,2232297,14968
chicken1_D13_maxbin.042.fasta.contigs.fa,97.44,12.93,1.89,5441110,7523
chicken1_D13_maxbin.044.fasta.contigs.fa,23.16,1.76,0.0,1356603,1937
chicken1_D13_maxbin.045.fasta_sub.contigs.fa,81.75,28.53,0.0,2907668,3526
chicken1_D13_maxbin.056.fasta.contigs.fa,62.73,25.71,5.06,3044598,2130
chicken1_D13_maxbin.058.fasta.contigs.fa,65.69,3.83,0.0,1544742,2405
chicken1_D13_metabat2.117.fa.contigs.fa,20.74,0.0,0.0,483037,26444
chicken1_D13_metabat2.129.fa_sub.contigs.fa,13.29,0.0,0.0,270140,56008
chicken1_D13_metabat2.143.fa.contigs.fa,19.4,0.0,0.0,542735,145110
chicken1_D13_metabat2.23.fa_sub.contigs.fa,69.99,5.56,15.38,2468618,16499
chicken1_D13_metabat2.43.fa.contigs.fa,16.04,0.67,100.0,390338,84456
chicken1_D13_metabat2.82.fa.contigs.fa,25.17,0.0,0.0,371899,49742
chicken1_D14_maxbin.001.fasta.contigs.fa,100.0,0.0,0.0,3949735,219559
chicken1_D14_maxbin.002.fasta.contigs.fa,97.38,0.0,0.0,3038453,165213
chicken1_D14_maxbin.003.fasta.contigs.fa,99.62,0.19,50.0,5074844,78900
chicken1_D14_maxbin.004.fasta.contigs.fa,97.96,8.5,0.0,4929290,80536
chicken1_D14_maxbin.005.fasta.contigs.fa,99.63,0.75,0.0,2915538,32173
chicken1_D14_maxbin.006.fasta.contigs.fa,86.39,0.23,0.0,2283265,102149
chicken1_D14_maxbin.007.fasta.contigs.fa,47.56,3.08,0.0,1213062,1860
chicken1_D14_maxbin.009.fasta_sub.contigs.fa,58.62,14.26,0.0,2860763,1675
chicken1_D14_maxbin.010.fasta.contigs.fa,72.93,25.41,26.19,3035300,1707
chicken1_D14_metabat2.17.fa_sub.contigs.fa,81.75,1.49,12.5,2940763,6639
chicken1_D15_maxbin.001.fasta.contigs.fa,73.19,5.67,0.0,2030756,87772
chicken1_D15_maxbin.003.fasta.contigs.fa,1.9,0.0,0.0,461383,5114
chicken1_D15_maxbin.004.fasta.contigs.fa,36.71,0.95,0.0,1843381,80428
chicken1_D15_maxbin.006.fasta.contigs.fa,98.17,0.59,16.67,5748251,286775
chicken1_D15_maxbin.007.fasta.contigs.fa,77.72,6.04,42.86,2726158,37733
chicken1_D15_maxbin.009.fasta.contigs.fa,88.29,6.69,16.67,2457359,94401
chicken1_D15_maxbin.011.fasta.contigs.fa,92.11,4.78,10.0,2784619,25874
chicken1_D15_maxbin.012.fasta.contigs.fa,97.47,0.0,0.0,2932833,99875
chicken1_D15_maxbin.014.fasta_sub.contigs.fa,77.72,0.62,6.67,1820923,42535
chicken1_D15_maxbin.016.fasta.contigs.fa,92.28,0.78,0.0,2565529,88343
chicken1_D15_maxbin.017.fasta.contigs.fa,84.95,37.59,23.33,2974797,46619
chicken1_D15_maxbin.018.fasta.contigs.fa,63.4,5.84,81.82,1450186,10307
chicken1_D15_maxbin.019.fasta.contigs.fa,90.51,0.0,0.0,2269894,205379
chicken1_D15_maxbin.020.fasta_sub.contigs.fa,83.33,10.1,2.22,3584194,29251
chicken1_D15_maxbin.021.fasta_sub.contigs.fa,76.7,0.96,75.0,2874471,17326
chicken1_D15_maxbin.023.fasta.contigs.fa,91.28,2.73,47.06,2031578,82060
chicken1_D15_maxbin.025.fasta.contigs.fa,78.59,32.21,11.11,3473993,58587
chicken1_D15_maxbin.026.fasta.contigs.fa,98.73,23.5,3.33,4878797,64375
chicken1_D15_maxbin.028.fasta.contigs.fa,92.54,12.34,4.0,5783181,57271
chicken1_D15_maxbin.030.fasta.contigs.fa,99.63,2.26,0.0,3020223,74485
chicken1_D15_maxbin.031.fasta.contigs.fa,55.7,0.0,0.0,1535110,44993
chicken1_D15_maxbin.034.fasta.contigs.fa,32.06,5.48,50.0,1057659,25637
chicken1_D15_maxbin.035.fasta.contigs.fa,75.43,44.72,17.07,2423037,13942
